,direct_reply,year,month_sin,month_cos,time_since_posted,is_quote,hashtags,user_mentions,medias,urls,english,favourites,happy_words,sad_words,retweets
9126,0,2018,0.8660254038,-0.5,75345.616319,0,0,2,1,0,0,0,0,0,9445
9387,0,2018,0.8660254038,0.5,5230873.434187,0,0,1,0,0,1,0,0,2,9334
10358,0,2018,0.8660254038,-0.5,12186.861689,0,0,1,0,0,1,0,0,0,9317
999,0,2018,1,6.12323399573677E-17,1850459.522886,0,0,4,0,0,1,0,1,0,9268
9424,0,2017,-1,-1.83697019872103E-16,16919509.192701,0,0,1,1,0,0,0,0,0,9244
7202,0,2018,1,6.12323399573677E-17,2334862.395558,1,0,1,0,0,1,0,0,2,9242
5047,0,2018,1,6.12323399573677E-17,1379449.195597,0,1,1,1,0,1,0,0,0,9076
7164,0,2018,0.8660254038,-0.5,689439.793179,1,0,1,0,0,1,0,0,0,9065
7094,0,2018,0.8660254038,-0.5,92526.159082,0,0,1,0,0,1,0,1,0,8961
11,0,2018,0.8660254038,-0.5,74574.981005,0,0,1,0,0,1,0,1,0,8959
9388,0,2018,0.8660254038,0.5,5271859.437355,0,0,2,0,0,1,0,0,0,8912
9432,0,2017,-1,-1.83697019872103E-16,18484887.228163,0,0,1,0,0,1,0,0,1,8885
7122,0,2018,0.8660254038,-0.5,564910.773912,0,0,1,0,0,1,0,0,0,8864
10299,0,2018,1,6.12323399573677E-17,1180386.446563,0,0,1,0,0,1,0,0,0,8763
10363,0,2018,0.8660254038,-0.5,46658.880843,0,0,1,0,0,1,0,0,1,8603
9411,0,2017,-0.5,0.8660254038,12347209.822595,0,0,1,1,0,1,0,0,0,8577
5519,0,2018,1,6.12323399573677E-17,1082689.17608,0,0,1,1,0,1,0,0,0,8558
3155,0,2018,0.8660254038,-0.5,568478.854077,0,0,1,0,0,1,0,0,0,8529
7154,0,2018,0.8660254038,-0.5,70493.766805,1,0,1,0,0,1,0,0,1,8432
7690,0,2018,0.8660254038,-0.5,560775.975869,1,0,1,0,0,1,0,2,1,8424
1297,0,2018,0.8660254038,-0.5,206197.997723,0,0,2,0,0,1,0,1,0,8376
7812,0,2018,0.8660254038,-0.5,168846.357184,0,0,2,0,0,1,0,1,0,8376
4131,0,2018,1,6.12323399573677E-17,1129703.633337,0,0,1,0,0,1,0,2,1,8050
884,0,2018,0.8660254038,-0.5,162034.240398,0,0,1,0,0,1,0,0,0,7879
4095,0,2018,0.8660254038,-0.5,169407.065866,0,0,1,0,0,1,0,0,0,7879
10307,0,2018,1,6.12323399573677E-17,1742300.485652,1,0,2,0,0,1,0,1,0,7787
2727,0,2018,0.8660254038,-0.5,79291.939765,1,0,1,0,0,1,0,0,0,7586
3435,0,2018,0.8660254038,-0.5,87432.818431,1,0,1,0,0,1,0,0,0,7586
10439,0,2018,1,6.12323399573677E-17,1268385.533507,0,0,1,0,0,1,0,0,2,7522
8061,0,2018,0.8660254038,-0.5,144764.466355,0,0,1,1,0,1,0,0,1,7487
4151,0,2018,1,6.12323399573677E-17,1351317.884791,0,0,1,0,0,1,0,0,0,7464
5472,0,2018,0.5,0.8660254038,6829454.865243,0,1,1,0,1,1,0,0,0,7426
7459,0,2017,-0.5,0.8660254038,11949079.590217,0,0,2,1,1,1,0,0,0,7398
5868,0,2018,0.8660254038,-0.5,518644.682375,0,0,0,0,1,1,28641,1,0,7299
10289,0,2018,0.8660254038,-0.5,448047.146733,0,0,1,0,0,1,0,1,0,7299
